pin,slack
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[6],16053
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[7],16007
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[8],15972
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[9],16029
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CO,15957
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[0],16784
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[10],17934
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[11],17995
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[1],15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[2],17848
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[3],16075
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[4],17846
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[5],17919
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[6],17869
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[7],16015
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[8],17910
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:P[9],16143
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[0],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[10],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[11],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[1],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[2],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[3],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[4],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[5],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[6],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[7],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[8],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3A[9],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[0],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[10],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[11],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[1],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[2],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[3],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[4],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[5],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[6],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[7],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[8],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:Y3[9],
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2_RNO:A,17492
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2_RNO:B,18323
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2_RNO:Y,17492
uart_i/COREUART_C0_0/RXRDY_NEW.un1_rx_fifo:A,18239
uart_i/COREUART_C0_0/RXRDY_NEW.un1_rx_fifo:B,18205
uart_i/COREUART_C0_0/RXRDY_NEW.un1_rx_fifo:Y,18205
uart_i/COREUART_C0_0/make_RX/un1_samples8_2_2:A,17493
uart_i/COREUART_C0_0/make_RX/un1_samples8_2_2:B,17460
uart_i/COREUART_C0_0/make_RX/un1_samples8_2_2:Y,17460
LED4_obuf/U_IOTRI:D,
LED4_obuf/U_IOTRI:DOUT,
LED4_obuf/U_IOTRI:EOUT,
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_0_sqmuxa_0_a2:A,17308
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_0_sqmuxa_0_a2:B,17261
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_0_sqmuxa_0_a2:C,17116
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_0_sqmuxa_0_a2:Y,17116
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1:A,16551
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1:B,16556
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1:C,17388
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1:D,17296
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1:Y,16551
uart_i/COREUART_C0_0/make_RX/overflow_xhdl1:ALn,
uart_i/COREUART_C0_0/make_RX/overflow_xhdl1:CLK,18333
uart_i/COREUART_C0_0/make_RX/overflow_xhdl1:EN,18132
uart_i/COREUART_C0_0/make_RX/overflow_xhdl1:Q,18333
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[3]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[3]:CLK,16715
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[3]:D,15824
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[3]:Q,16715
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQVBS6[6]:B,16015
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQVBS6[6]:C,17789
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQVBS6[6]:CC,16007
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQVBS6[6]:P,16015
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQVBS6[6]:S,16007
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQVBS6[6]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQVBS6[6]:Y3A,
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5_2:A,17480
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5_2:B,17454
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5_2:C,17371
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5_2:D,17291
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5_2:Y,17291
LED1_obuf/U_IOPAD:D,
LED1_obuf/U_IOPAD:E,
LED1_obuf/U_IOPAD:PAD,
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[1]:A,15712
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[1]:B,18283
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[1]:C,18215
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[1]:Y,15712
uart_i/COREUART_C0_0/make_RX/rx_parity_calc:ALn,
uart_i/COREUART_C0_0/make_RX/rx_parity_calc:CLK,18261
uart_i/COREUART_C0_0/make_RX/rx_parity_calc:D,17366
uart_i/COREUART_C0_0/make_RX/rx_parity_calc:EN,18873
uart_i/COREUART_C0_0/make_RX/rx_parity_calc:Q,18261
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_o5[0]:A,17531
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_o5[0]:B,17488
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_o5[0]:C,16595
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_o5[0]:D,15669
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_o5[0]:Y,15669
uart_i/COREUART_C0_0/make_RX/rx_state[1]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_state[1]:CLK,15704
uart_i/COREUART_C0_0/make_RX/rx_state[1]:D,16559
uart_i/COREUART_C0_0/make_RX/rx_state[1]:EN,18132
uart_i/COREUART_C0_0/make_RX/rx_state[1]:Q,15704
uart_reader_i/LED1:CLK,
uart_reader_i/LED1:D,18267
uart_reader_i/LED1:Q,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI1JTJ8[9]:B,17934
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI1JTJ8[9]:CC,15976
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI1JTJ8[9]:P,17934
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI1JTJ8[9]:S,15976
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI1JTJ8[9]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI1JTJ8[9]:Y3A,
LED2_obuf/U_IOPAD:D,
LED2_obuf/U_IOPAD:E,
LED2_obuf/U_IOPAD:PAD,
button1_ibuf/U_IOPAD:PAD,
button1_ibuf/U_IOPAD:Y,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[3]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[3]:CLK,17445
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[3]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[3]:EN,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[3]:Q,17445
uart_i/COREUART_C0_0/make_RX/rx_shift[7]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[7]:CLK,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[7]:D,19111
uart_i/COREUART_C0_0/make_RX/rx_shift[7]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[7]:Q,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[7]:SLn,18180
uart_i/COREUART_C0_0/make_RX/rx_state[0]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_state[0]:CLK,15669
uart_i/COREUART_C0_0/make_RX/rx_state[0]:D,16551
uart_i/COREUART_C0_0/make_RX/rx_state[0]:EN,18873
uart_i/COREUART_C0_0/make_RX/rx_state[0]:Q,15669
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[11]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[11]:CLK,16240
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[11]:D,16003
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[11]:Q,16240
uart_i/COREUART_C0_0/make_RX/un1_samples8_1_0:A,17233
uart_i/COREUART_C0_0/make_RX/un1_samples8_1_0:B,18049
uart_i/COREUART_C0_0/make_RX/un1_samples8_1_0:C,17116
uart_i/COREUART_C0_0/make_RX/un1_samples8_1_0:Y,17116
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[0]:A,17395
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[0]:B,16608
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[0]:C,18238
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[0]:Y,16608
uart_i/COREUART_C0_0/make_RX/rx_shift[6]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[6]:CLK,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[6]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[6]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[6]:Q,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[6]:SLn,18180
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIB0655[4]:B,17919
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIB0655[4]:CC,15994
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIB0655[4]:P,17919
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIB0655[4]:S,15994
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIB0655[4]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIB0655[4]:Y3A,
uart_i/COREUART_C0_0/make_RX/rx_par_calc.rx_parity_calc_3_u:A,17492
uart_i/COREUART_C0_0/make_RX/rx_par_calc.rx_parity_calc_3_u:B,17366
uart_i/COREUART_C0_0/make_RX/rx_par_calc.rx_parity_calc_3_u:C,18261
uart_i/COREUART_C0_0/make_RX/rx_par_calc.rx_parity_calc_3_u:D,17399
uart_i/COREUART_C0_0/make_RX/rx_par_calc.rx_parity_calc_3_u:Y,17366
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_clock_int:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_clock_int:CLK,16640
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_clock_int:D,17266
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_clock_int:Q,16640
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[1]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[1]:CLK,16624
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[1]:D,16608
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[1]:Q,16624
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[3]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[3]:CLK,16088
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[3]:D,16022
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[3]:Q,16088
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:A,17018
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:B,16056
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:C,15990
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:CC,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:D,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:P,16784
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:Y,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1:Y3A,
uart_i/COREUART_C0_0/make_RX/rx_statece[1]:A,18132
uart_i/COREUART_C0_0/make_RX/rx_statece[1]:B,18170
uart_i/COREUART_C0_0/make_RX/rx_statece[1]:Y,18132
uart_reader_i/led42lto4:A,17592
uart_reader_i/led42lto4:B,16777
uart_reader_i/led42lto4:C,17489
uart_reader_i/led42lto4:D,17445
uart_reader_i/led42lto4:Y,16777
LED3_obuf/U_IOPAD:D,
LED3_obuf/U_IOPAD:E,
LED3_obuf/U_IOPAD:PAD,
uart_i/COREUART_C0_0/make_RX/rx_filtered_i_o2:A,17554
uart_i/COREUART_C0_0/make_RX/rx_filtered_i_o2:B,17523
uart_i/COREUART_C0_0/make_RX/rx_filtered_i_o2:C,17451
uart_i/COREUART_C0_0/make_RX/rx_filtered_i_o2:Y,17451
uart_i/COREUART_C0_0/make_RX/stop_strobe_i_1_sqmuxa_0_a5:A,17407
uart_i/COREUART_C0_0/make_RX/stop_strobe_i_1_sqmuxa_0_a5:B,17505
uart_i/COREUART_C0_0/make_RX/stop_strobe_i_1_sqmuxa_0_a5:Y,17407
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a2_1_0[0]:A,16708
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a2_1_0[0]:B,16655
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a2_1_0[0]:C,16595
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a2_1_0[0]:Y,16595
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[12]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[12]:CLK,17018
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[12]:D,15957
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[12]:Q,17018
uart_reader_i/led42lto4_1:A,16814
uart_reader_i/led42lto4_1:B,16777
uart_reader_i/led42lto4_1:Y,16777
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m18:A,16559
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m18:B,17399
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m18:C,18226
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m18:Y,16559
uart_i/COREUART_C0_0/make_RX/receive_count[2]:ALn,
uart_i/COREUART_C0_0/make_RX/receive_count[2]:CLK,15971
uart_i/COREUART_C0_0/make_RX/receive_count[2]:D,15669
uart_i/COREUART_C0_0/make_RX/receive_count[2]:EN,18873
uart_i/COREUART_C0_0/make_RX/receive_count[2]:Q,15971
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNID3IJ8[8]:B,16143
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNID3IJ8[8]:C,17917
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNID3IJ8[8]:CC,16029
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNID3IJ8[8]:P,16143
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNID3IJ8[8]:S,16029
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNID3IJ8[8]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNID3IJ8[8]:Y3A,
uart_i/COREUART_C0_0/make_RX/make_parity_err.un87_baud_clock_0_a5:A,15824
uart_i/COREUART_C0_0/make_RX/make_parity_err.un87_baud_clock_0_a5:B,16640
uart_i/COREUART_C0_0/make_RX/make_parity_err.un87_baud_clock_0_a5:Y,15824
uart_i/COREUART_C0_0/make_RX/receive_full_int_1_sqmuxa_1_i:A,17460
uart_i/COREUART_C0_0/make_RX/receive_full_int_1_sqmuxa_1_i:B,17381
uart_i/COREUART_C0_0/make_RX/receive_full_int_1_sqmuxa_1_i:C,18029
uart_i/COREUART_C0_0/make_RX/receive_full_int_1_sqmuxa_1_i:D,17262
uart_i/COREUART_C0_0/make_RX/receive_full_int_1_sqmuxa_1_i:Y,17262
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[2]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[2]:CLK,16777
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[2]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[2]:EN,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[2]:Q,16777
rx_ibuf/U_IOPAD:PAD,
rx_ibuf/U_IOPAD:Y,
rstn_ibuf/U_IOPAD:PAD,
rstn_ibuf/U_IOPAD:Y,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIECF45[2]:B,16075
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIECF45[2]:C,17849
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIECF45[2]:CC,16073
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIECF45[2]:P,16075
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIECF45[2]:S,16073
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIECF45[2]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIECF45[2]:Y3A,
uart_i/COREUART_C0_0/make_RX/stop_strobe_i:ALn,
uart_i/COREUART_C0_0/make_RX/stop_strobe_i:CLK,18205
uart_i/COREUART_C0_0/make_RX/stop_strobe_i:D,17407
uart_i/COREUART_C0_0/make_RX/stop_strobe_i:EN,18873
uart_i/COREUART_C0_0/make_RX/stop_strobe_i:Q,18205
uart_i/COREUART_C0_0/make_RX/rx_shift[3]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[3]:CLK,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[3]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[3]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[3]:Q,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[3]:SLn,18180
LED1_obuf/U_IOTRI:D,
LED1_obuf/U_IOTRI:DOUT,
LED1_obuf/U_IOTRI:EOUT,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI7L9D3[0]:B,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI7L9D3[0]:C,17720
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI7L9D3[0]:CC,17070
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI7L9D3[0]:P,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI7L9D3[0]:S,16400
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI7L9D3[0]:Y3,
